N,P,K,temperature,humidity,ph,rainfall,label
98.0,25.0,52.0,25.365923334487807,83.20314117534393,6.186447671032716,49.205364202912605,watermelon
97.0,25.0,50.0,26.119103762719188,81.10785812366719,6.017043597427847,48.89892125123901,watermelon
90.0,16.0,45.0,25.00815284891952,80.70790903306948,6.276347345025715,50.574924174224144,watermelon
95.0,12.0,46.0,26.23546006929984,80.92807997562129,6.179905218987524,54.63323999746824,watermelon
82.0,23.0,49.0,26.94670681128182,87.24810832725883,6.869186864638052,51.72095971921083,watermelon
82.0,25.0,51.0,24.366158794180354,87.4961069724236,6.077814784020622,48.21642923777619,watermelon
110.0,28.0,46.0,24.247494521229875,88.09557039648868,6.591563680943571,51.268576045734655,watermelon
118.0,21.0,51.0,24.399615200735955,86.14205790784608,6.702437076367948,48.81105311793457,watermelon
120.0,20.0,45.0,25.75011170969815,88.70324362178404,6.143943009008929,54.162495250736605,watermelon
91.0,7.0,52.0,25.02098396967692,83.4979022994764,6.4561459405505435,56.376597916246375,watermelon
81.0,6.0,55.0,25.020075059368764,86.04169425852487,6.1731302808488335,51.66618849425092,watermelon
101.0,13.0,54.0,25.3361477640645,82.77823722532756,6.941406253805512,56.18693581327278,watermelon
101.0,17.0,55.0,24.282863130375937,87.19770051895819,6.447805948302393,44.68064085520552,watermelon
111.0,6.0,53.0,26.57122610526641,88.58135607223973,6.159972993478431,46.07074746136997,watermelon
107.0,10.0,49.0,25.915244146847073,88.90682213308541,6.6473770168102195,45.24978855920898,watermelon
115.0,11.0,46.0,24.37697841142103,89.31172118195865,6.715007291686317,40.36320571300155,watermelon
84.0,25.0,52.0,24.37545008600725,81.23233820923473,6.104477029705742,44.286229973133295,watermelon
120.0,7.0,47.0,24.32695884884218,82.92303535733377,6.647110043710658,54.802259494916356,watermelon
91.0,12.0,46.0,24.792029686282238,85.59275894759463,6.48751786015658,48.24466824754358,watermelon
89.0,22.0,52.0,24.98174707446331,86.2630423316873,6.197146077886356,53.073767907944855,watermelon
113.0,19.0,46.0,25.373064283538426,81.08960221557678,6.304478720253623,49.55854653147769,watermelon
97.0,22.0,50.0,26.169817247669055,86.25195826192228,6.7409620512068065,59.108164545780255,watermelon
117.0,30.0,50.0,24.688813745882403,87.26223038336825,6.7183786090655735,46.641873768359815,watermelon
90.0,14.0,52.0,25.006543174910092,89.34196767106585,6.528720461123138,59.6521050898803,watermelon
104.0,23.0,47.0,26.86219952019451,86.60818870560679,6.772877242665427,42.81098009469018,watermelon
81.0,16.0,45.0,27.004767416595726,86.18708650649441,6.636567046877003,59.75745979263237,watermelon
88.0,5.0,47.0,25.78183382918248,86.64506170017985,6.9295737788437854,41.24604845832715,watermelon
92.0,7.0,45.0,26.841444551789817,81.12874474485615,7.11392929197223,51.67905466763792,watermelon
81.0,18.0,50.0,26.440923020355815,80.97312834788606,6.606509675916976,47.85334991058051,watermelon
111.0,5.0,55.0,26.165072100763247,84.55735536501044,6.649633844375768,50.71269617678386,watermelon
108.0,23.0,51.0,26.8701802566539,83.73439354794098,6.199517258165416,40.24875433096183,watermelon
113.0,30.0,50.0,26.002188161003936,83.96493444508654,6.271269524300802,43.85745677034681,watermelon
83.0,10.0,53.0,24.77646184235161,85.02867829229727,6.211921295420239,48.83012828748056,watermelon
101.0,11.0,51.0,25.297168369653733,84.3028479733157,6.80461518145646,44.293854541019755,watermelon
114.0,21.0,55.0,25.418311178902535,87.91693056154958,6.593946021788131,57.510418986633574,watermelon
99.0,6.0,45.0,26.167352764525603,86.6548011695915,5.891852347802845,40.58267512066977,watermelon
92.0,20.0,55.0,25.1187450126823,87.66671114501109,6.662069614625116,59.220219559311836,watermelon
92.0,7.0,48.0,26.30097538339017,86.68438242157832,7.013364837168336,54.371569969347874,watermelon
91.0,24.0,55.0,26.326532084959492,82.9589789406206,6.181110264908916,46.6911145968556,watermelon
110.0,21.0,54.0,26.73706587812436,87.76760982571635,6.572782706458718,47.40488814291596,watermelon
112.0,25.0,51.0,25.133977691201636,85.51319621940016,7.023495366368934,56.75432979171514,watermelon
89.0,25.0,54.0,24.774117980399197,85.71567973196312,6.34770128849206,49.114551128578725,watermelon
100.0,10.0,53.0,24.646544279792437,84.5045365312557,6.328681472178233,42.08217959216108,watermelon
83.0,22.0,54.0,26.08771854453679,81.94819953273644,6.1841327747702985,54.60608679595675,watermelon
95.0,14.0,50.0,26.54075781636805,84.33892136680072,6.561847844379699,56.24512656990786,watermelon
119.0,30.0,49.0,25.35865208120383,80.63522548217769,6.884139552551941,47.69476002336741,watermelon
97.0,12.0,47.0,25.376297265731676,89.45341004457967,6.788849577477909,58.168464992578656,watermelon
110.0,7.0,45.0,26.867619177989553,84.66917452806948,6.193027490949745,48.206785751673614,watermelon
96.0,18.0,50.0,25.34052281685925,84.23138045329071,6.983247695645566,41.45431693780783,watermelon
83.0,23.0,55.0,26.989888430995126,83.67606604610997,6.531170535760955,44.09142808883461,watermelon
120.0,24.0,47.0,27.068705623978694,89.33914866780047,6.203580953773389,58.60978750884812,watermelon
119.0,25.0,51.0,26.37243789158581,80.9903719545443,6.231430043170408,53.566396431956264,watermelon
119.0,19.0,55.0,25.24135345732618,83.5740769164022,6.799091879675606,46.989177802581715,watermelon
105.0,30.0,50.0,25.336208585234175,81.95353057777128,6.205411824712405,57.080000382170795,watermelon
114.0,8.0,50.0,24.82047221545897,88.28645848545288,6.689628547926491,57.931852060701424,watermelon
93.0,22.0,52.0,26.710738528592362,81.41989378825245,6.947668996227735,41.97230665518438,watermelon
80.0,26.0,55.0,24.75865537142158,89.0026064394354,6.125825313381301,49.07189973048475,watermelon
85.0,27.0,45.0,26.079155977816193,88.75170429100184,6.5506154617686985,57.70114471834175,watermelon
85.0,22.0,53.0,26.00072744785114,89.79889193966902,6.8918036841956996,59.40796939522328,watermelon
82.0,22.0,45.0,26.23788412736148,85.26608502076817,6.464437673860659,54.45286019096558,watermelon
118.0,13.0,54.0,24.507599918684875,89.83479288174522,6.061018006968626,44.16136460027441,watermelon
83.0,25.0,53.0,26.612683077290953,80.11651992109864,6.152350448004498,57.774436217805665,watermelon
86.0,15.0,47.0,24.080325889390334,84.06959712428845,6.6101647796979695,53.756132232120855,watermelon
101.0,10.0,47.0,25.58743310363788,83.40099374519876,7.015986933387043,57.555165569065466,watermelon
119.0,9.0,50.0,26.83131401677866,83.8962276540813,6.121899138342276,40.785192204011885,watermelon
104.0,17.0,46.0,25.736213981467902,80.20688821190812,6.152149881581254,42.985801218783834,watermelon
95.0,12.0,51.0,25.959259941767538,84.1952642257693,6.8044506307878585,44.31012713703236,watermelon
102.0,14.0,52.0,26.92225317078543,89.67217587216204,6.33124021300798,57.742580359973275,watermelon
109.0,21.0,55.0,24.819542526845023,89.80800814263853,6.819628376845291,57.52115328477228,watermelon
81.0,18.0,50.0,26.847717283382757,88.25743884530493,6.363483669735816,58.738813885183326,watermelon
103.0,17.0,51.0,25.023257891126207,79.94070803813057,6.206400841514358,44.1496486242034,watermelon
105.0,14.0,50.0,26.194213425013768,87.53000757469906,6.293838295671688,59.6217357199298,watermelon
97.0,8.0,52.0,25.013011715978905,86.94010613861882,6.391224948487902,49.599145301704084,watermelon
120.0,19.0,49.0,25.83222099784627,84.25026430777727,6.782836028523004,56.57582200728455,watermelon
95.0,16.0,55.0,25.29828797669878,87.5511633166353,6.575318439605474,40.25624226680508,watermelon
83.0,29.0,52.0,25.713094899474665,87.56962144761832,6.785961795206988,46.05511652108251,watermelon
83.0,9.0,45.0,26.010736682358463,89.31760975087089,6.020460490075682,46.89233511197481,watermelon
91.0,21.0,50.0,24.363020162098376,81.2985187088212,6.645301057568033,48.43447250940824,watermelon
116.0,5.0,54.0,25.443362442793855,80.80100021807765,6.656857457776001,57.36196893778432,watermelon
112.0,28.0,54.0,24.810525135266655,84.9177596248365,6.853573549994225,55.20892784097972,watermelon
88.0,29.0,51.0,24.728179073237847,89.04623344905815,6.220060899748766,48.33858599891136,watermelon
118.0,15.0,45.0,24.153152744301842,84.3280186776364,6.543602179272317,48.1520145962629,watermelon
92.0,21.0,48.0,25.71878366427356,82.1605578943403,6.397802954891488,54.79185012673265,watermelon
106.0,14.0,45.0,24.419035608565697,84.23894341327224,6.31825264131107,57.280907346150414,watermelon
99.0,5.0,47.0,24.223685187539598,84.7488729977558,6.704242112766272,51.2368952208972,watermelon
98.0,8.0,51.0,26.220488855937482,86.50776266448148,6.435770665933004,49.23812893860146,watermelon
108.0,22.0,46.0,26.156972381471416,86.62561112774598,6.07015418936997,53.463914949546364,watermelon
119.0,7.0,55.0,26.05595096903947,84.71537741134105,6.076838986994779,44.49933810959572,watermelon
117.0,27.0,48.0,26.599741210437905,82.41885406347801,6.803352306433948,54.19672092481386,watermelon
109.0,10.0,53.0,26.787689097772258,87.86041418508952,6.691829761974372,45.91877556018433,watermelon
80.0,16.0,46.0,25.390252485346565,81.37818057750137,6.986187373400011,48.33939494867463,watermelon
100.0,18.0,52.0,26.12742502026394,80.25326021718149,6.725249740073033,56.50772147187255,watermelon
91.0,7.0,53.0,25.089185659923558,89.43236016294854,6.51045640240338,43.55195235464473,watermelon
86.0,6.0,53.0,25.922674392250535,83.45642918203492,6.905420956358063,42.204320286659126,watermelon
107.0,5.0,52.0,26.65198305855839,89.78532673999233,6.749595082469876,57.32248366899117,watermelon
103.0,16.0,49.0,24.125084279326106,81.66937356950214,6.935384367506963,51.77818878741656,watermelon
101.0,20.0,48.0,24.603900154917397,82.6277638432528,6.106475871172806,56.97109642408605,watermelon
85.0,25.0,47.0,26.11490218086343,87.44149984522006,6.376953974423333,58.37927515999431,watermelon
84.0,7.0,51.0,26.763981843809667,87.44915127097661,6.447121448460914,55.564594208257915,watermelon
102.0,28.0,54.0,25.1542775472788,80.13555483070927,6.892653299430901,55.57903427136184,watermelon
98.0,25.0,52.0,25.310941897378346,83.18966036262763,6.144023261939455,49.20355430983146,watermelon
97.0,25.0,50.0,26.29089956108914,80.83848908349921,6.043857112259333,49.25459833314004,watermelon
90.0,16.0,45.0,24.857550959653036,80.65266792871557,6.2109657475724855,50.50808396948212,watermelon
95.0,12.0,46.0,26.20080985265293,80.83961311251201,6.325103457352684,54.53264054532083,watermelon
82.0,23.0,49.0,26.92962923612499,87.22769951518968,7.053205602673935,51.853372403707326,watermelon
82.0,25.0,51.0,24.41416706788177,87.56841513059216,6.001958834241555,48.18814504077316,watermelon
110.0,28.0,46.0,24.03146399274859,87.99343709641657,6.345893035860236,51.16531437566415,watermelon
118.0,21.0,51.0,24.45304776031298,86.33241214500086,6.7713612882463705,48.59095816594526,watermelon
120.0,20.0,45.0,25.834050421991126,88.771950785041,6.00215043884725,54.2641820979791,watermelon
91.0,7.0,52.0,24.87575422054532,83.54131848480841,6.537080598810709,56.510963708317206,watermelon
81.0,6.0,55.0,24.793961230928694,85.86806224400934,6.114800638804213,51.71023979626306,watermelon
101.0,13.0,54.0,25.47952224593477,82.76104577307699,6.794442854885628,56.36278855664021,watermelon
101.0,17.0,55.0,24.406648387617945,86.97809165160753,6.344832921697791,44.71640218315368,watermelon
111.0,6.0,53.0,26.551442806402452,88.76485553562063,6.472851981233143,45.946533532794824,watermelon
107.0,10.0,49.0,25.89549511648493,88.98260778962967,6.660106416060098,45.23235852056459,watermelon
115.0,11.0,46.0,24.671500151634422,89.29880160501068,6.561714701013119,40.203527233795164,watermelon
84.0,25.0,52.0,24.356204286676626,81.13951859590983,6.084387665164199,44.427774067935474,watermelon
120.0,7.0,47.0,24.103028727964357,83.21632912468507,6.564622200128582,54.71894900593562,watermelon
91.0,12.0,46.0,24.58359208159269,85.56625712468889,6.228100236411068,48.243341330282085,watermelon
89.0,22.0,52.0,24.991805316062894,86.23343937490651,6.461069405760388,53.20591398273058,watermelon
113.0,19.0,46.0,25.43692211232867,80.96252789809111,6.22955771747098,49.67617208609994,watermelon
97.0,22.0,50.0,26.23055739215598,86.19868603925005,6.810492408592447,59.002320478793,watermelon
117.0,30.0,50.0,24.78479271154413,87.09844800491904,6.813049412248376,46.61395746371421,watermelon
90.0,14.0,52.0,24.847003552728545,89.29418474374717,6.4415667092816555,59.605008802858556,watermelon
104.0,23.0,47.0,27.073540504594096,86.77523548732852,6.884664938807828,42.90015220632985,watermelon
81.0,16.0,45.0,27.13600958280353,86.28683357336887,6.546000323792404,59.81129755442997,watermelon
88.0,5.0,47.0,25.80017727555518,86.67084482825531,6.593502644433255,41.20440481144448,watermelon
92.0,7.0,45.0,26.77556535312448,81.14010677833407,6.719149448285723,51.61410225714287,watermelon
81.0,18.0,50.0,26.507380893402605,80.97178563623278,6.460301083149716,47.88375843557419,watermelon
111.0,5.0,55.0,26.26297969105883,84.58132307591065,6.516157626909054,50.78806592432442,watermelon
108.0,23.0,51.0,26.961921138593162,83.67639838391284,6.042386642299527,40.19332413608757,watermelon
113.0,30.0,50.0,26.00956350862609,83.88107218865046,6.547350614696467,43.876823228222236,watermelon
83.0,10.0,53.0,24.904160907341243,85.02370063202981,6.240756146422304,48.845763402731976,watermelon
101.0,11.0,51.0,25.50139516165297,84.34393313428146,6.731839429471408,44.01153294913092,watermelon
114.0,21.0,55.0,25.449218677385648,88.07098662020242,6.525446114727414,57.43509052085807,watermelon
99.0,6.0,45.0,26.141306759054835,86.37991537317795,5.969944112931276,40.7373982900197,watermelon
92.0,20.0,55.0,24.930052807203268,87.4740853949156,6.597166542764144,59.248127333276436,watermelon
92.0,7.0,48.0,26.233793210124063,86.52574715214368,6.915592326819758,54.4047766684086,watermelon
91.0,24.0,55.0,26.4652626257313,83.01620254026975,6.236531076903794,46.778430074813166,watermelon
110.0,21.0,54.0,26.80257690373439,87.96245955068177,6.584764991856909,47.437027140153575,watermelon
112.0,25.0,51.0,25.021453034903722,85.54797771493297,6.990787111595253,56.708212578975186,watermelon
89.0,25.0,54.0,24.78976957379446,85.49263174524407,6.225473354821379,49.12429848101902,watermelon
100.0,10.0,53.0,24.505618695250888,84.53411957205103,6.092625644122302,41.9941826939889,watermelon
83.0,22.0,54.0,25.85202701294033,82.01559670587613,6.314010453545393,54.480175708393695,watermelon
95.0,14.0,50.0,26.757696103568918,84.13013588275136,6.500197924317135,56.27184255214381,watermelon
119.0,30.0,49.0,25.33443853890007,80.49728325529834,7.236151053477745,47.70166146618479,watermelon
97.0,12.0,47.0,25.209074127050147,89.69237369336602,6.863059925178876,58.26449209260778,watermelon
110.0,7.0,45.0,26.519332356953736,84.68146063750558,6.216417918064641,48.22811938240118,watermelon
96.0,18.0,50.0,25.25672641263583,84.3722477973183,6.950439428104427,41.636046667744154,watermelon
83.0,23.0,55.0,26.96816251402996,83.83892352559931,6.415646876323854,43.99333869342681,watermelon
120.0,24.0,47.0,26.924545056673317,89.39898134405406,6.075920226469259,58.49334406285147,watermelon
119.0,25.0,51.0,26.4115824340839,80.99150823953542,6.227456059724582,53.721568745723026,watermelon
119.0,19.0,55.0,25.21645216359016,83.32680520064797,6.920485390376011,46.73643350687531,watermelon
105.0,30.0,50.0,25.330708706596717,81.91826091440997,6.469333214337161,57.24162237412691,watermelon
114.0,8.0,50.0,24.48365779366005,88.35466517374604,6.631984590621072,57.987935247256594,watermelon
93.0,22.0,52.0,26.563008635433935,81.36234589971673,6.936694254301681,41.77593603002774,watermelon
80.0,26.0,55.0,24.510302236712967,89.05171006545625,6.357471409240921,49.05963480398463,watermelon
85.0,27.0,45.0,25.876290827774316,88.70028241278956,6.5523202223918595,57.98712981397132,watermelon
85.0,22.0,53.0,26.022673862538905,89.72978301167304,6.834073220909442,59.568827859228676,watermelon
82.0,22.0,45.0,26.127899338402283,85.36183060493846,6.422529715698233,54.61864889427273,watermelon
118.0,13.0,54.0,24.348371261051238,89.56356398040928,6.037886830548765,44.146961440870854,watermelon
83.0,25.0,53.0,26.37772012941206,80.03101118735152,6.0727634492718305,57.648849236413874,watermelon
86.0,15.0,47.0,23.987900967936262,84.07229973717173,6.352624467123862,53.77908617118924,watermelon
101.0,10.0,47.0,25.485911021756767,83.27794194370684,6.929545962538096,57.473285671902765,watermelon
119.0,9.0,50.0,26.7918454152643,83.94558295956475,6.30150733311082,40.68490028562728,watermelon
104.0,17.0,46.0,25.62388754473432,80.01702934152422,5.994639213052806,43.15360789549587,watermelon
95.0,12.0,51.0,25.788377719240867,84.0258999560437,6.811186415074839,44.13659308592891,watermelon
102.0,14.0,52.0,26.969498950799423,89.63516141259551,6.503259254831511,57.71924654427255,watermelon
109.0,21.0,55.0,24.874579902355524,89.66460904858361,6.841311548790624,57.61038970134103,watermelon
81.0,18.0,50.0,26.76208644691464,88.31570593372393,6.353610790953595,58.73824473286125,watermelon
103.0,17.0,51.0,25.18098553733798,80.05151785664158,6.229643157433775,44.22955149813065,watermelon
105.0,14.0,50.0,26.27654266406046,87.71551545392481,6.495401191138746,59.81534966749879,watermelon
97.0,8.0,52.0,25.033071121485477,86.84533761093617,6.330278632925122,49.524192953085524,watermelon
120.0,19.0,49.0,25.8003750309701,84.2445805801291,6.875882108184082,56.52093565681618,watermelon
95.0,16.0,55.0,25.210322452608757,87.47100976427562,6.5210810122195095,40.242839901852655,watermelon
83.0,29.0,52.0,25.752347463455216,87.55088058281136,6.796866661468384,46.04043453448376,watermelon
83.0,9.0,45.0,25.845647231516608,89.14625786659995,6.110570073927677,46.94074114286726,watermelon
91.0,21.0,50.0,24.58574849674301,81.55334030515047,6.60262786476308,48.28426405120779,watermelon
116.0,5.0,54.0,25.503084842373912,80.87139483145684,6.797794852232746,57.23664790304623,watermelon
112.0,28.0,54.0,24.82099650574342,84.93214469784094,6.829929141668536,55.27130534659323,watermelon
88.0,29.0,51.0,24.656108958786948,88.9461879848932,6.068488440338954,48.37008186749745,watermelon
118.0,15.0,45.0,24.295584796599258,84.2009932792156,6.479547422244168,47.95051922989131,watermelon
92.0,21.0,48.0,25.737928286615755,82.18915740851071,6.380557500275938,54.858190368511785,watermelon
106.0,14.0,45.0,24.500822679477555,84.10470850563978,6.518847080835305,57.18072174675843,watermelon
99.0,5.0,47.0,24.03681891951529,85.13233916452347,6.508474960466863,51.14368732416773,watermelon
98.0,8.0,51.0,26.244193397702574,86.50200229419835,6.157627058815244,49.48940127646,watermelon
108.0,22.0,46.0,26.137381913634798,86.48946946106399,6.110454618496079,53.483439148371865,watermelon
119.0,7.0,55.0,26.13591769347622,84.69353294215408,6.107631827987414,44.34141147258944,watermelon
117.0,27.0,48.0,26.400850351519598,82.39856832478435,6.76621650393098,54.281819143505885,watermelon
109.0,10.0,53.0,26.838723708906535,87.81848533051661,6.394679194697199,46.059952931445636,watermelon
80.0,16.0,46.0,25.34955936382717,81.27786960918378,6.978181506392801,48.46387646451312,watermelon
100.0,18.0,52.0,26.335527021388142,80.17388722232981,6.810465560507273,56.43031890681751,watermelon
91.0,7.0,53.0,25.335896470331463,89.33355485673592,6.3798889228462725,43.5535486159732,watermelon
86.0,6.0,53.0,25.757903596341897,83.46814123038293,6.8549948758268355,42.039509511727125,watermelon
107.0,5.0,52.0,26.669797286373246,89.98051724574475,6.881265226368409,57.41456814614064,watermelon
103.0,16.0,49.0,24.1515221849458,81.86394435444906,6.879954521388119,51.78667845780215,watermelon
101.0,20.0,48.0,24.85322563471136,82.79143297698947,6.415740316281348,57.00860639393906,watermelon
85.0,25.0,47.0,26.20627970349899,87.82021124323711,6.350806255020088,58.65629215927114,watermelon
84.0,7.0,51.0,26.684834289625346,87.65293370134408,6.359532993290025,55.718651948778174,watermelon
102.0,28.0,54.0,25.17568880537085,80.29770112149693,6.887197749617805,55.60907294235936,watermelon
98.0,25.0,52.0,25.260721762396972,83.2255412502898,6.210151512573319,49.33111323825236,watermelon
97.0,25.0,50.0,26.161027894168825,80.92274178986057,6.150513081901529,49.00835192018687,watermelon
90.0,16.0,45.0,25.046396042146974,80.52957853387032,6.1774673728096055,50.60164542089489,watermelon
95.0,12.0,46.0,26.27151557127535,81.23980063813653,6.282914304731179,54.780067272525166,watermelon
82.0,23.0,49.0,26.853287136102292,87.15582601629778,6.820773828318986,51.834933366582526,watermelon
82.0,25.0,51.0,24.198558595358637,87.58258411369218,6.132707106596558,47.93455301575238,watermelon
110.0,28.0,46.0,24.204423144521783,88.23208351219317,6.359669992511622,51.057198911038576,watermelon
118.0,21.0,51.0,24.28595371380666,86.46676166848567,6.742158527215928,48.57562655597836,watermelon
120.0,20.0,45.0,25.539849376214658,88.8515437567793,6.2158381176708595,54.33592779488625,watermelon
91.0,7.0,52.0,25.077771250363945,83.39116153504672,6.258308385296123,56.34707914708542,watermelon
81.0,6.0,55.0,24.9907525329399,85.82197483854938,6.084444866551775,51.66242017864533,watermelon
101.0,13.0,54.0,25.496417842920156,83.03880248693113,6.772301469151338,56.15164656819749,watermelon
101.0,17.0,55.0,24.47302344874335,87.04892677251138,6.508588544808187,44.717848029068676,watermelon
111.0,6.0,53.0,26.61838939261774,88.73071805603543,6.411862831203908,46.199035244413885,watermelon
107.0,10.0,49.0,25.734801169128446,89.02859121057789,6.959596493834547,45.0796222821681,watermelon
115.0,11.0,46.0,24.5925857680971,89.45800043109445,6.488767808411768,40.43665314110027,watermelon
84.0,25.0,52.0,24.27070727510596,81.1785883425468,6.090442065628514,44.265378516019176,watermelon
120.0,7.0,47.0,24.195988265747644,82.99622064072993,6.677315508994225,54.87952125242336,watermelon
91.0,12.0,46.0,24.605681625294658,85.42865000623763,6.368519551825744,48.32099861716573,watermelon
89.0,22.0,52.0,24.876450931352146,86.06219340787052,6.083090718273305,53.17656067879524,watermelon
113.0,19.0,46.0,25.462879910734113,81.05038198596692,6.124532302299322,49.363672566888404,watermelon
97.0,22.0,50.0,26.229657357112597,85.98673640478893,6.856693803915024,59.083215823840916,watermelon
117.0,30.0,50.0,25.025497469213278,87.25344026710594,6.835260143906239,46.567316215195824,watermelon
90.0,14.0,52.0,24.84277262018164,89.2490684247591,6.373919395435552,59.76621674045094,watermelon
104.0,23.0,47.0,26.981562522397965,86.89636670239463,6.8492780224488214,42.86000325112647,watermelon
81.0,16.0,45.0,26.965293379776032,86.1627369490028,6.8760284246881636,59.989219030453924,watermelon
88.0,5.0,47.0,25.86583678697147,86.7601221960552,6.712251347589752,41.259729989846434,watermelon
92.0,7.0,45.0,26.771654237491724,81.19029579462979,6.846328924290925,51.59502781878013,watermelon
81.0,18.0,50.0,26.36616271392788,80.845453119419,6.658480315997215,47.79420463088127,watermelon
111.0,5.0,55.0,26.273258622021356,84.50483849966994,6.549953828159686,50.612440046902016,watermelon
108.0,23.0,51.0,26.863498639356898,83.89201589028946,6.1900810759994735,40.448710341834946,watermelon
113.0,30.0,50.0,26.02238569444016,84.01925705401281,6.3140028187727975,43.74757302598121,watermelon
83.0,10.0,53.0,24.79146386286637,84.96252595023165,6.098417907943651,48.72371851756978,watermelon
101.0,11.0,51.0,25.609014255786846,84.38603103195707,6.716333088694169,44.2403324444529,watermelon
114.0,21.0,55.0,25.38717338018879,88.09581557805907,6.572210172359367,57.54459712604925,watermelon
99.0,6.0,45.0,26.285410595934714,86.62461383666857,6.045502174177053,40.74005359845555,watermelon
92.0,20.0,55.0,25.25561479571266,87.48154979627265,6.748100957704005,59.14352786871186,watermelon
92.0,7.0,48.0,26.129584183471778,86.56218313977382,6.875564260991944,54.49865243304419,watermelon
91.0,24.0,55.0,26.284720028438635,83.23250000954297,6.253764589960671,46.76022986034542,watermelon
110.0,21.0,54.0,26.88684186515127,87.77233214786716,6.830315939966517,47.41568179046768,watermelon
112.0,25.0,51.0,24.9903318219632,85.69104531445021,7.074782181389569,56.57308090502868,watermelon
89.0,25.0,54.0,24.69384417118146,85.60082548492001,6.43679648151735,49.05816715364586,watermelon
100.0,10.0,53.0,24.670739225366273,84.61421568100971,6.293075708294348,42.03062262045235,watermelon
83.0,22.0,54.0,25.991554150815425,81.84352630537732,6.247574780800206,54.48689056817418,watermelon
95.0,14.0,50.0,26.723175274350652,84.32996993396385,6.61138026366025,56.212376650293926,watermelon
119.0,30.0,49.0,25.4827756896334,80.35760190058666,6.9369850515701055,47.78474390903359,watermelon
97.0,12.0,47.0,25.33253868619012,89.56109871902945,6.708537808777296,58.26425409515268,watermelon
110.0,7.0,45.0,26.60034220797251,84.64727302117802,6.234951796890239,48.291033426615385,watermelon
96.0,18.0,50.0,25.273180792690443,84.24616585116814,6.818813057381087,41.56631793770463,watermelon
83.0,23.0,55.0,26.857945782463933,83.75453068754712,6.400304171218541,43.95202849000471,watermelon
120.0,24.0,47.0,26.965317556526344,89.45321308164701,6.227911952480416,58.55088025375532,watermelon
119.0,25.0,51.0,26.499938089339235,80.88886268296888,6.2602531748794625,53.74122341016308,watermelon
119.0,19.0,55.0,25.098582415657944,83.40620185604375,6.85808628442532,46.872130559349735,watermelon
105.0,30.0,50.0,25.25176769341012,81.83238336940062,6.435867317001166,56.99187050682034,watermelon
114.0,8.0,50.0,24.825078732987418,88.28968127301724,6.55454304910791,58.0067116516911,watermelon
93.0,22.0,52.0,26.753119258024064,81.36128821643409,7.091393935301115,41.84067799115528,watermelon
80.0,26.0,55.0,24.434230055264965,89.02551813659989,6.1319724454767846,48.86460943281791,watermelon
85.0,27.0,45.0,25.959721880778947,88.8165345606151,6.580597753503565,57.7711380986794,watermelon
85.0,22.0,53.0,25.82500837500426,89.7735416440529,6.857852451138737,59.542032920181846,watermelon
82.0,22.0,45.0,26.379028428387308,85.37688203563958,6.450613299656153,54.73793777159166,watermelon
118.0,13.0,54.0,24.544629325438986,89.71667427286751,5.918806170670744,43.97054730793224,watermelon
83.0,25.0,53.0,26.486631863985767,79.97712163674733,6.152568347796941,57.79080160111431,watermelon
86.0,15.0,47.0,24.168198566474615,84.19801833989983,6.500053305067908,53.79828315072853,watermelon
101.0,10.0,47.0,25.521869523572168,83.32294408966865,6.917501106093837,57.60917457135134,watermelon
119.0,9.0,50.0,26.486930361835952,83.77270114885431,6.198792231205715,40.844836808120405,watermelon
104.0,17.0,46.0,25.57361160432725,80.22234059421586,6.0897877045559765,42.999893579827514,watermelon
95.0,12.0,51.0,25.868071869658717,84.24030403502901,6.638229210224664,44.3126209450016,watermelon
102.0,14.0,52.0,26.76676232492752,89.59880456991817,6.55278145401316,57.83413735703022,watermelon
109.0,21.0,55.0,24.7183342098776,89.72433268278732,6.858549964104325,57.5045455121552,watermelon
81.0,18.0,50.0,26.554949329767368,88.299765123885,6.493691457941618,58.67005020181864,watermelon
103.0,17.0,51.0,25.21829218223107,80.00657597298998,6.340977332092112,44.08076008377808,watermelon
105.0,14.0,50.0,26.24291525687058,87.60466781021856,6.461362111653053,59.45086864568887,watermelon
97.0,8.0,52.0,24.990908456702865,86.82815116684041,6.0954271165410026,49.33531530471141,watermelon
120.0,19.0,49.0,25.785249204775024,84.2677518408486,6.77609611100631,56.40822622944668,watermelon
95.0,16.0,55.0,25.02605458712641,87.70390214307288,6.529011056335901,40.15953668697771,watermelon
83.0,29.0,52.0,25.59273005633105,87.6593420598788,6.797582228358533,46.03454114810564,watermelon
83.0,9.0,45.0,25.86972877207696,89.09334768987037,5.927349575957846,46.71785315168673,watermelon
91.0,21.0,50.0,24.560801040873102,81.57283426271061,6.7027875044408916,48.35576659319622,watermelon
116.0,5.0,54.0,25.500525553354134,81.14206159954159,6.654635396654864,57.100773293430784,watermelon
112.0,28.0,54.0,24.9879784453987,84.97716871435868,6.673514221272607,55.12074908986446,watermelon
88.0,29.0,51.0,24.877076090438578,88.91674173613964,6.1477084529474935,48.51100636969474,watermelon
118.0,15.0,45.0,24.18746801431176,84.1223076180527,6.4823218366579445,47.922221594161,watermelon
92.0,21.0,48.0,25.755158558381815,82.0315641551638,6.111727211462507,54.72098333465884,watermelon
106.0,14.0,45.0,24.514558769794483,84.05122998718652,6.279189865192552,57.376497709006884,watermelon
